scorer,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000
bodyparts,snout,snout,snout,right-forepaw,right-forepaw,right-forepaw,left-forepaw,left-forepaw,left-forepaw,right-hindpaw,right-hindpaw,right-hindpaw,left-hindpaw,left-hindpaw,left-hindpaw,tail-base,tail-base,tail-base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,631.978759765625,329.9463806152344,0.9999995231628418,625.1751708984375,280.91485595703125,0.9999991655349731,601.7976684570312,297.38128662109375,0.9999982118606567,613.293701171875,251.9580535888672,1.0,579.3416137695312,294.62005615234375,1.0,568.3048706054688,244.1945343017578,1.0
9,628.1130981445312,332.3299255371094,0.9999998807907104,624.457275390625,280.941650390625,0.9999992847442627,601.7651977539062,297.7759094238281,0.9999973773956299,612.4528198242188,251.43629455566406,1.0,579.8473510742188,291.38568115234375,0.9999998807907104,567.7216796875,245.40847778320312,1.0
10,622.9669799804688,334.4605712890625,0.9999994039535522,623.8959350585938,291.5811767578125,0.9996435642242432,601.1124267578125,299.4790344238281,0.9999994039535522,611.3378295898438,251.94346618652344,1.0,576.7062377929688,290.3522644042969,0.9999996423721313,567.0669555664062,246.6372833251953,1.0
11,621.6661987304688,336.2259826660156,0.9999992847442627,624.942626953125,305.74786376953125,0.9999995231628418,601.2269287109375,298.8105163574219,0.9999985694885254,610.6589965820312,252.0431671142578,1.0,577.0335083007812,291.2295837402344,0.9999996423721313,566.6907958984375,246.94740295410156,1.0
12,616.336181640625,336.91278076171875,0.9999996423721313,624.3618774414062,309.1347351074219,0.9999982118606567,601.0923461914062,298.1507873535156,0.9999992847442627,610.4277954101562,252.16539001464844,1.0,577.0224609375,292.8187255859375,0.9999988079071045,567.6052856445312,247.22250366210938,0.9999998807907104
13,610.0112915039062,340.2915344238281,1.0,622.5552368164062,309.171630859375,0.9999936819076538,600.745849609375,297.9861755371094,0.9999990463256836,610.137939453125,252.3050537109375,0.9999998807907104,576.898681640625,293.4169006347656,0.9999983310699463,568.2333374023438,246.96490478515625,0.9999998807907104
14,609.7921752929688,343.86785888671875,0.9999997615814209,622.3873291015625,309.0143127441406,0.9999901056289673,599.7274780273438,298.61773681640625,0.9999988079071045,610.89306640625,252.58502197265625,1.0,577.261474609375,294.3424072265625,0.999998927116394,569.1458740234375,246.89205932617188,0.9999996423721313
15,611.6770629882812,346.1692810058594,0.9999996423721313,621.740234375,307.95111083984375,0.9999803304672241,600.046630859375,300.08575439453125,0.9999991655349731,611.1705322265625,252.7612762451172,1.0,578.5120849609375,291.24981689453125,0.9999998807907104,569.5170288085938,246.96481323242188,0.9999996423721313
16,614.1181640625,346.398681640625,0.9999986886978149,623.837890625,309.9019470214844,0.9999979734420776,602.2210693359375,308.710205078125,0.999937891960144,611.5909423828125,252.467529296875,1.0,579.8572387695312,286.3050231933594,0.9999997615814209,570.0081176757812,247.58518981933594,0.9999992847442627
17,617.6890869140625,348.08953857421875,0.9999964237213135,625.0194091796875,311.0209655761719,0.9999991655349731,605.7842407226562,327.7310791015625,0.999997615814209,611.9968872070312,253.9221954345703,0.9999998807907104,580.2485961914062,285.7165222167969,0.9999996423721313,570.9137573242188,250.09095764160156,0.9999978542327881
