scorer,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000
bodyparts,snout,snout,snout,right-forepaw,right-forepaw,right-forepaw,left-forepaw,left-forepaw,left-forepaw,right-hindpaw,right-hindpaw,right-hindpaw,left-hindpaw,left-hindpaw,left-hindpaw,tail-base,tail-base,tail-base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,540.3873901367188,169.44900512695312,0.9999995231628418,517.048095703125,158.8126983642578,0.9999985694885254,494.2786865234375,177.4689178466797,0.9999998807907104,449.07806396484375,152.45452880859375,0.9999995231628418,470.0636291503906,187.67254638671875,0.9999998807907104,436.5478820800781,174.3067169189453,0.9999997615814209
9,539.8529052734375,169.80189514160156,0.9999997615814209,516.8975830078125,159.0877685546875,0.9999986886978149,494.07440185546875,177.37632751464844,0.9999997615814209,448.5962219238281,152.47557067871094,0.9999992847442627,470.18878173828125,187.7560272216797,0.9999998807907104,436.2447814941406,174.27584838867188,0.9999997615814209
10,540.3604736328125,171.1699981689453,0.9999994039535522,517.4667358398438,158.97369384765625,0.9999986886978149,494.25518798828125,177.49212646484375,0.9999997615814209,448.72760009765625,152.5517120361328,0.9999992847442627,469.9207763671875,187.63856506347656,0.9999998807907104,436.4156494140625,174.331787109375,0.9999997615814209
11,540.0154418945312,171.06787109375,0.9999996423721313,517.3892211914062,158.92710876464844,0.999998927116394,493.9045715332031,177.33375549316406,0.9999998807907104,448.21295166015625,150.0805206298828,0.9999995231628418,470.05810546875,187.93264770507812,0.9999998807907104,436.9887390136719,174.0743865966797,0.9999997615814209
12,539.4568481445312,171.35377502441406,0.9999991655349731,517.2418823242188,159.0264434814453,0.9999977350234985,493.8941345214844,177.4925079345703,0.9999998807907104,449.5323791503906,152.2592010498047,0.9999997615814209,470.422119140625,187.71226501464844,0.9999998807907104,436.67169189453125,174.4727020263672,0.9999997615814209
13,539.2106323242188,170.9492645263672,0.9999995231628418,516.9109497070312,158.9767303466797,0.9999974966049194,494.057861328125,177.44418334960938,0.9999998807907104,450.0036315917969,152.2135467529297,0.9999998807907104,470.3813171386719,187.8248748779297,0.9999998807907104,436.5603942871094,174.4821014404297,0.9999997615814209
14,539.762939453125,171.47755432128906,0.9999970197677612,516.93310546875,159.0896759033203,0.999997615814209,493.9723815917969,177.34414672851562,0.9999998807907104,450.25897216796875,152.30242919921875,0.9999998807907104,470.4570007324219,187.82106018066406,0.9999998807907104,436.7763671875,174.74276733398438,0.9999997615814209
15,540.2422485351562,171.65097045898438,0.9999973773956299,517.2077026367188,159.55340576171875,0.999996542930603,494.04571533203125,177.2170867919922,0.9999997615814209,449.947265625,152.33572387695312,0.9999998807907104,470.3673400878906,187.75753784179688,0.9999998807907104,436.6697082519531,174.56932067871094,0.9999997615814209
16,540.7595825195312,171.45745849609375,0.9999967813491821,516.9885864257812,158.9751434326172,0.9999974966049194,493.7250671386719,177.41305541992188,0.9999998807907104,450.2094421386719,152.1463623046875,0.9999998807907104,470.00433349609375,187.66903686523438,0.9999998807907104,436.5663757324219,174.539306640625,0.9999997615814209
17,540.3372192382812,171.97813415527344,0.9999871253967285,516.974853515625,159.0419464111328,0.9999970197677612,494.02386474609375,177.11647033691406,0.9999997615814209,450.1263427734375,152.31419372558594,0.9999997615814209,470.01611328125,187.4732666015625,0.9999998807907104,436.78717041015625,174.51309204101562,0.9999997615814209
