;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Animal1;Time;Experiment;Experiment
;snout;snout;right-forepaw;right-forepaw;left-forepaw;left-forepaw;right-hindpaw;right-hindpaw;left-hindpaw;left-hindpaw;tail-base;tail-base;;Status;Trial
;x;y;x;y;x;y;x;y;x;y;x;y;;;
Frame;;;;;;;;;;;;;;;
2952;216.27142572402954;670.639317035675;401.1485457420349;236.31189554929733;394.6675111055374;239.67061710357666;388.01979773677886;206.059561252594;360.2875266075134;223.08086848258972;356.6055321097374;184.4423508644104;163.945;True;InterTrial
2955;216.8210563659668;671.8131637573242;402.3536524772644;233.11767101287842;;;387.2337694168091;205.19299614429474;360.27251267433167;222.69696807861328;356.46749371290207;184.45561504364014;164.124;True;InterTrial
2958;409.5626802444458;236.68815594911575;403.63164684176445;234.73445188999176;;;388.24515920877457;206.04489922523499;360.1795463562012;222.85005927085876;356.17921382188797;184.5436143875122;164.306;True;InterTrial
2961;411.5012020468712;239.9271674156189;403.43082571029663;237.5926878452301;;;388.2634209096432;206.34571981430054;360.33854269981384;222.9542944431305;356.4511958062649;184.46693801879883;164.486;True;InterTrial
2964;406.344575881958;235.75316463410854;399.6198630332947;232.51593780517578;;;388.508861720562;205.9156287908554;359.7421236038208;223.2559745311737;356.3758269548416;184.40440940856934;164.667;True;InterTrial
2967;216.97125601768494;670.1893138885498;401.057332277298;231.0499975681305;;;388.2997309267521;205.71778810024261;359.18438386917114;222.7651596069336;356.7463880777359;184.41025257110596;164.846;True;InterTrial
2970;408.8764796257019;234.02260720729828;398.9351577758789;231.0422580242157;;;388.4290313720703;206.15817141532898;360.12992811203003;223.70233154296875;356.8042042851448;184.3420820236206;165.027;True;InterTrial
2973;217.5483067035675;671.3615970611572;;;;;387.92666850984097;205.65002191066742;359.4065465927124;222.4211573600769;356.77840781211853;184.32361602783203;165.207;True;InterTrial
2976;217.2112593650818;671.4862878322601;399.596152305603;230.79303646087646;;;388.6090106368065;206.62568259239197;359.8368754386902;223.4527359008789;356.3426555097103;184.70142889022827;165.387;True;InterTrial
2979;407.0999355316162;238.01012253761292;401.96741008758545;231.60323452949524;;;388.6510965228081;206.74617409706116;359.8866500854492;223.78799200057983;356.6193603873253;184.58612966537476;165.569;True;InterTrial
2982;217.83843564987183;670.7691161632538;403.32101142406464;232.69181489944458;;;388.2709879875183;206.699453830719;359.58274269104004;222.90544843673706;356.3767390847206;184.82904767990112;165.748;True;InterTrial
2985;407.51967430114746;238.14635276794434;401.0708656311035;231.4352686405182;;;388.28417697548866;206.58899021148682;359.90513038635254;223.5870246887207;356.57215642929077;184.39274168014526;165.927;True;InterTrial
2988;216.439519405365;670.042637348175;400.55562257766724;231.63965582847595;;;388.4821989238262;206.52446961402893;359.4200963973999;222.63537907600403;356.44892778992653;184.7317442893982;166.106;True;InterTrial
2991;402.938152551651;232.72282552719116;399.8633699417114;229.19059646129608;;;388.6036010980606;206.1184527873993;359.84370470046997;223.50383377075195;356.4185011982918;184.62657165527344;166.288;True;InterTrial
2994;218.2027951478958;674.6441655158997;399.72491574287415;231.87319803237915;;;387.8389966338873;206.16079592704773;359.69718074798584;223.69251608848572;356.746301651001;184.4726686477661;166.467;True;InterTrial
2997;399.94197940826416;232.0330843925476;398.568430185318;232.14207935333252;388.85434770584106;238.39314556121826;388.6117563843727;205.7903493642807;359.825270652771;224.24577140808105;357.10596919059753;184.24429178237915;166.647;True;InterTrial
3000;;;;;;;388.3521527349949;206.36427783966064;359.6919975280762;223.80516028404236;355.80463595688343;184.37671852111816;166.828;True;InterTrial
3003;402.5379433631897;235.24157857894897;397.5376868247986;229.28165709972382;391.11698603630066;234.4326492547989;388.89790391921997;206.12821984291077;359.48656129837036;223.7641785144806;355.98366164416075;184.0175747871399;167.006;True;InterTrial
3006;;;398.1069703102112;229.16943752765656;;;388.30508294701576;206.79308915138245;359.38906717300415;222.99369049072266;356.2307196110487;184.40391492843628;167.187;True;InterTrial
3009;;;396.62230080366135;227.17851781845093;388.6558870077133;232.05370163917542;388.40220445394516;206.24791622161865;359.3189067840576;223.26813316345215;356.2857963144779;183.99969673156738;167.368;True;InterTrial
3012;216.12162399291992;671.8156552314758;394.44259893894196;233.07203435897827;;;387.8294349759817;206.07103061676025;359.49907970428467;222.93672919273376;356.25959968566895;184.08141088485718;167.549;True;InterTrial
3015;217.6916425228119;673.013934135437;394.1089792251587;227.86756785213947;387.70973110198975;232.2508511543274;388.4207276403904;206.20294618606567;358.79111433029175;222.9747290611267;356.3555902540684;183.8707242012024;167.729;True;InterTrial
3018;217.92452597618103;672.9897813796997;396.5497289299965;227.51816937327385;390.37135219573975;232.28926753997803;388.04732367396355;206.54822278022766;359.05773639678955;221.7848401069641;356.43143567442894;184.37087869644165;167.911;True;InterTrial
3021;;;399.1278603076935;226.04127633571625;;;388.5650900006294;206.55023622512817;359.77644538879395;223.09064412117004;356.19851614534855;183.95008969306946;168.091;True;InterTrial
3024;216.9266059398651;671.5878493785858;;;;;388.38767382502556;205.64035296440125;359.29437375068665;222.23589968681335;356.5019101500511;182.96397256851196;168.272;True;InterTrial
3027;216.23913145065308;672.3368339538574;;;;;387.431301176548;204.97508549690247;359.4081001281738;221.5104342699051;356.94199991226196;182.85273241996765;168.451;True;InterTrial
3030;216.4971342086792;669.6711314916611;403.8210372328758;217.36247849464417;;;388.4790505170822;206.26748418807983;360.2093081474304;222.16820526123047;356.3211699426174;184.02458000183105;168.632;True;InterTrial
3033;409.4688243865967;229.35544228553772;;;;;387.3117617368698;205.8475967645645;360.38110613822937;222.1036684513092;355.94544150307775;183.63129949569702;168.812;True;InterTrial
3036;216.57277417182922;670.9135546684265;397.20385217666626;229.40340960025787;;;387.83619341254234;206.86463260650635;359.2642135620117;223.5149564743042;356.47344398498535;184.22826528549194;168.993;True;InterTrial
3039;216.905837059021;669.5697568655014;397.83910608291626;225.29545974731445;390.9788646697998;230.48547172546387;387.6152988374233;206.12791204452515;359.1973645687103;222.71860814094543;356.03354766219854;184.00904512405396;169.172;True;InterTrial
3042;217.19220542907715;671.002836227417;;;383.69744777679443;232.34119606018066;387.8132274001837;206.53965663909912;359.2046551704407;223.57146906852722;356.8891739845276;183.77732682228088;169.352;True;InterTrial
3045;216.79946780204773;669.9780410528183;;;376.36051297187805;235.20728701353073;386.6888200044632;205.26098155975342;359.00954031944275;223.30916571617126;356.1091027855873;183.5778205394745;169.532;True;InterTrial
3048;217.33671045303345;672.9551186561584;390.76725149154663;232.67088556289673;386.19344782829285;235.50545957684517;387.97455593943596;206.7495310306549;359.219872713089;223.14612293243408;356.14268846809864;184.257896900177;169.714;True;InterTrial
3051;217.87967586517334;673.0265846252441;394.58743691444397;229.91814839839935;389.535391330719;236.30012094974518;388.54643458127975;206.34381079673767;359.3445200920105;223.5196361541748;356.57632690668106;184.20072412490845;169.893;True;InterTrial
3054;401.00876665115356;230.89852118492126;396.54569560289383;227.42814528942108;388.7683524489403;234.09515190124512;388.6617559194565;206.9286391735077;359.2209300994873;222.5997097492218;356.7013016939163;183.88421249389648;170.074;True;InterTrial
3057;409.9303960800171;230.43349719047546;398.1380515098572;226.90827679634094;392.51793670654297;232.54003715515137;388.4473843574524;207.33942580223083;359.2030301094055;222.57252955436707;356.6527405977249;183.74452447891235;170.254;True;InterTrial
3060;216.44884037971497;671.8649499416351;;;;;386.98137176036835;206.7248387336731;359.62767791748047;222.58733820915222;356.2872391939163;183.83809113502502;170.435;True;InterTrial
3063;216.30672931671143;670.8288731575012;406.7974634170532;227.14541351795197;;;387.8470703214407;207.5214729309082;359.99712562561035;223.6404733657837;356.1478536725044;184.17256498336792;170.617;True;InterTrial
3066;409.7150819301605;237.2240982055664;405.0899133682251;226.1732428073883;;;389.1822679042816;208.10958909988403;360.80427622795105;224.1821780204773;356.14855322241783;184.55952310562134;170.797;True;InterTrial
3069;420.7754611968994;234.07999682426453;400.88073229789734;225.23910999298096;;;388.5360943675041;208.24040269851685;361.1715040206909;223.78386664390564;355.8222302645445;184.93945407867432;170.977;True;InterTrial
3072;425.61335015296936;229.1706976890564;;;;;388.10291669517756;208.3702530860901;362.44366002082825;223.4137053489685;356.0288282353431;185.60502243041992;171.157;True;InterTrial
3075;416.271621465683;226.36721754074097;;;;;388.390558809042;207.70610451698303;360.9412479400635;223.30222940444946;356.06838002055883;185.54007196426392;171.339;True;InterTrial
3078;218.4877518415451;671.2763831615448;;;;;388.90940725803375;206.60692310333252;360.7550685405731;223.31842637062073;356.19248005747795;185.56657218933105;171.519;True;InterTrial
